artigoEmPeriodico	Alexandre Jose Santana	2004		Free groups of semigroups in semi-simple Lie groups	Portugaliae Mathematica	SANTANA, A. J.; ROCIO, Osvaldo Germano Do		
artigoEmPeriodico	Alexandre Jose Santana	2002		The homotopy type of Lie semigroups in semi-simple Lie groups	Monatshefte für Mathematik	SANTANA, A. J.; MARTIN, Luiz Antonio Barrera San		
artigoEmPeriodico	Alexandre Jose Santana	2002		The homotopy type of invariant control set	Proyecciones (Antofagasta)	SANTANA, A. J		
resumoExpandidoEmCongresso	Alexandre Jose Santana	2016	TOPOLOGICAL CLASSIFICATION OF DYNAMICAL SYSTEMS ON LIE GROUPS	Simpósio de Toria de Lie e Aplicações, 2016, Maringá. Anais do Simpósio	SANTANA, A. J		
artigoEmPeriodico	Bernadete Maria Suaki Brandão	2005		Relação entre substratos e métodos de aplicação de solução nutritiva na produção de mudas e a posterior resposta produtiva da beterraba.	Acta Scientiarum Agronomy	SANTIN, Melissa Maria ; SANTOS, Humberto Silva ; SCAPIM, Carlos Alberto ; BRANDÃO, B. M. S. ; BRANDÃO FILHO, José Usan Torres ; CALLEGARI, Osni ; SANTOS, Ana Julia Alvarenga ; SANTOS, Isadora Alvarenga		
artigoEmPeriodico	Bernadete Maria Suaki Brandão	2005		Teorema de Jurdjevic e Kupka no grupo SL(n,R)	Boletim da Sociedade Paranaense de Matemática	BRANDÃO, B. M. S		
artigoEmPeriodico	Carlos José Braga Barros	2016	http://dx.doi.org/10.1002/mana.201400389	On attractors and stability for semigroup actions and control systems	Mathematische Nachrichten	Barros, Carlos J. Braga; SOUZA, J. A. ; Rocha V. H. L.		
artigoEmPeriodico	Carlos José Braga Barros	2016	http://dx.doi.org/10.1016/j.sysconle.2016.02.006	Attraction and Lyapunov stability for control systems on vector bundles	Systems & Control Letters (Print)	Rocha V. H. L. ; Braga Barros, Carlos J.		
artigoEmPeriodico	Carlos José Braga Barros	2015		Lyapunov Stability on Fiber Bundles	Sociedade Brasileira de Matematica. Boletim, Nova Serie	Braga Barros, C. J.; Souza, Josiney A. ; Rocha V. H. L.		
artigoEmPeriodico	Carlos José Braga Barros	2015	http://dx.doi.org/10.4153/cjm-2015-007-7	Lyapunov Stability and Attraction Under Equivariant Maps	Canadian Journal of Mathematics	Braga Barros, Carlos J.; SOUZA, J. A. ; Rocha V. H. L.		
artigoEmPeriodico	Carlos José Braga Barros	2014	http://dx.doi.org/10.1007/s00233-013-9527-2	Lyapunov stability for semigroup actions	Semigroup Forum	Braga Barros, C. J.; Rocha V. H. L. ; Souza, Josiney A.		
artigoEmPeriodico	Carlos José Braga Barros	2013		On the number of maximal chain transitive sets in fiber bundles	Forum Mathematicum	Braga Barros, C. J.; SOUZA, J. A.		
artigoEmPeriodico	Carlos José Braga Barros	2012		Dynamic Morse decompositions for semigroup of homeomorphisms and control systems	Journal of Dynamical and Control Systems	Braga Barros, Carlos J.; Souza, Josiney A. ; REIS, R. A.		
artigoEmPeriodico	Carlos José Braga Barros	2011		Examples of Morse decompositions for semigroup actions	Proyecciones Journal of Mathematics	Braga Barros, Carlos J.; SOUZA, J. A. ; TOZATTI, Hélio V. M.		
artigoEmPeriodico	Carlos José Braga Barros	2010	http://dx.doi.org/10.1007/s10884-010-9165-2	Finest Morse Decompositions for Semigroup Actions on Fiber Bundles	Journal of Dynamics and Differential Equations	Braga Barros, Carlos J.; Souza, Josiney A.		
artigoEmPeriodico	Carlos José Braga Barros	2010	http://dx.doi.org/10.1007/s10884-010-9164-3	Attractors and Chain Recurrence for Semigroup Actions	Journal of Dynamics and Differential Equations	Braga Barros, C. J.; Souza, Josiney A.		
artigoEmPeriodico	Carlos José Braga Barros	2007		Chain transitive sets for flows on flag bundles	Forum Mathematicum	Braga Barros, C. J.; MARTIN, Luiz A B San		
artigoEmPeriodico	Carlos José Braga Barros	2003		On the number of control sets on compact homogeneous spaces	Portugaliae Mathematica	Braga Barros, C. J.; REIS, R. A.		
artigoEmPeriodico	Carlos José Braga Barros	2003		Chain control sets and fiber bundles	Computational and Applied Mathematics	Braga Barros, C. J		
artigoEmPeriodico	Carlos José Braga Barros	2003		Maximal chain transitive sets for local groups	Boletim da Sociedade Paranaense de Matemática	Braga Barros, C. J.; San Martin, L. A. B.		
artigoEmPeriodico	Carlos José Braga Barros	2001		Controllability of discrete-time control systems on the symplectic group	Systems & Control Letters (Print)	Braga Barros, C. J.; San Martin, L. A. B.		
artigoEmPeriodico	Carlos José Braga Barros	2001		Relative invarance for monoid actions	Proyecciones. Serie, Políticas y Hechos Educativos	Braga Barros, C. J		
artigoEmPeriodico	Carlos José Braga Barros	1998		On The Number of Control Sets on Flag Manifolds of the Real Simple Lie Groups	Journal of Lie Theory	Braga Barros, C. J		
artigoEmPeriodico	Carlos José Braga Barros	1997		On The Action Of Semigroups In Fiber Bundles	Matemática Contemporânea	Braga Barros, C. J.; San Martin, L. A. B.		
artigoEmPeriodico	Carlos José Braga Barros	1996		On The Number of Control Sets On Projective Spaces	Systems and Control Letters	Braga Barros, C. J.; San Martin, L. A. B.		
artigoEmPeriodico	Carlos José Braga Barros	1996		Controllability of two-dimensional bilinear systems	Proyecciones. Serie, Políticas y Hechos Educativos	Braga Barros, C. J.; San Martin, L. A. B. ; ROCIO, O. G. ; GONÇALVES FILHO, J. R.		
artigoEmPeriodico	Carlos José Braga Barros	1996		Chain Control Sets For Semigroup Actions	Computational and Applied Mathematics	Braga Barros, C. J.; San Martin, L. A. B.		
artigoEmPeriodico	Carlos José Braga Barros	1991		Controlabilidade de Sistemas em Grupos de Lie	Revista Unimar	Braga Barros, C. J.; ROCIO, O. G. ; GONÇALVES FILHO, J. R.		
artigoEmPeriodico	Carlos José Braga Barros	1989		Sobre o Teorema de Tranmsversalidade de Thom	REVISTA UNIMAR	Braga Barros, C. J.; GONÇALVES FILHO, J. R.		
trabalhoCompletoEmCongresso	Carlos José Braga Barros	2008		Morse decompositions for semigroup actions	Dincon2008	Braga Barros, C. J.; REIS, R. A.		
artigoEmPeriodico	Cesar Adolfo Hernandez Melo	2015		Epsilon-delta proofs and uniform continuity	Lecturas Matemáticas	Hernandez, C		
artigoEmPeriodico	Cesar Adolfo Hernandez Melo	2014	http://dx.doi.org/10.1016/j.amc.2014.01.140	Existence and stability of equilibrium solutions of a nonlinear heat equation	Applied Mathematics and Computation	HERNÁNDEZ MELO, CÉSAR A		
artigoEmPeriodico	Cesar Adolfo Hernandez Melo	2007		Spectral properties of compressible stratified flows	Revista Colombiana de Matemáticas	Giniatoulline Andrei ; Hernandez, C.		
artigoEmPeriodico	Cícero Lopes Frota	2017	http://dx.doi.org/10.1007/s40314-015-0236-1	On a nonlinear coupled system of thermoelastic type with acoustic boundary conditions	Computational & Applied Mathematics	BRAZ E SILVA, P. ; CLARK, H. R. ; FROTA, C. L.		
artigoEmPeriodico	Cícero Lopes Frota	2016	http://dx.doi.org/10.1016/j.jmaa.2015.12.039	Uniform stabilization of wave equation with localized damping and acoustic boundary condition	Journal of Mathematical Analysis and Applications (Print)	Vicente, A. ; Frota, C.L.		
artigoEmPeriodico	Cícero Lopes Frota	2016	http://dx.doi.org/10.1002/mma.4129	General decay of solutions of a wave equation with memory term and acoustic boundary condition	Mathematical Methods in the Applied Sciences	Vicente, A. ; FROTA, C. L.		
artigoEmPeriodico	Cícero Lopes Frota	2014		A MIXED PROBLEM FOR SEMILINEAR WAVE EQUATIONS WITH ACOUSTIC BOUNDARY CONDITIONS IN DOMAINS WITH NON-LOCALLY REACTING BOUNDARY	Electronic Journal of Differential Equations	FROTA, C. L.; MEDEIROS, L. A. ; VICENTE, A.		
artigoEmPeriodico	Cícero Lopes Frota	2013	http://dx.doi.org/10.1016/j.jmaa.2013.05.054	On a mixed problem with a nonlinear acoustic boundary condition for a non-locally reacting boundaries	Journal of Mathematical Analysis and Applications (Print)	Vicente, A. ; Frota, C.L.		
artigoEmPeriodico	Cícero Lopes Frota	2013		Nonlinear Wave Equations with Acoustic Boundary Conditions	International Journal of Differential Equations and Applications	ANTUNES, G. O. ; FROTA, C. L. ; SILVA, M. D. G. ; MEDEIROS, L. A.		
artigoEmPeriodico	Cícero Lopes Frota	2013	http://dx.doi.org/10.1016/j.wavemoti.2012.08.003	Nonlinear wave equation with weak dissipative term in domains with non-locally reacting boundary	WAVE MOTION	Vicente, A. ; Frota, C.L.		
artigoEmPeriodico	Cícero Lopes Frota	2011		Wave equation in domains with non locally reacting boundary	Differential and Integral Equations	FROTA, C. L.; MEDEIROS, Luis Adauto ; VICENTE, André		
artigoEmPeriodico	Cícero Lopes Frota	2011	http://dx.doi.org/10.1002/mma.1503	On an evolution equation with acoustic boundary conditions	Mathematical Methods in the Applied Sciences	Límaco, Juan ; Clark, Haroldo Rodrigues ; FROTA, C. L. ; MEDEIROS, Luis Adauto		
artigoEmPeriodico	Cícero Lopes Frota	2011	http://dx.doi.org/10.5269/bspm.v30i2.13451	On Wave Equations Without Global a Priori Estimates	Boletim da Sociedade Paranaense de Matemática	MEDEIROS, L. A. ; LIMACO, Juan ; FROTA, C. L.		
artigoEmPeriodico	Cícero Lopes Frota	2010		Dissipative Boussinesq Equation on Non-Cylindrical Domains in Rn	Electronic Journal of Differential Equations	FROTA, C. L.; CLARK, Haroldo ; COUSIN, Alfredo Tadeu ; LIMACO, Juan		
artigoEmPeriodico	Cícero Lopes Frota	2008		A hyperbolic system of Klein Gordon type with acoustic boundary conditions	International Journal of Pure and Applied Mathematics	FROTA, C. L.; VICENTE, André		
artigoEmPeriodico	Cícero Lopes Frota	2007		On dissipative Boussinesq Equation in a Non-cylindrical Domain	Nonlinear Analysis. Theory, Methods and Applications	FROTA, C. L.; COUSIN, Alfredo Tadeu ; CLARK, Haroldo ; LIMACO, Juan		
artigoEmPeriodico	Cícero Lopes Frota	2005		On one compressible dusty gas model	Journal of Inverse and Ill-Posed Problems	FROTA, C. L.; COUSIN, Alfredo Tadeu ; DORONIN, Gleb G ; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	2005		Uniform stabilization for a hyperbolic equation with acoustic boundary conditions in simple connected domains	Progress in Nonlinear Differential Equations and their Applications	FROTA, C. L.; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	2004		On a system of Klein-Gordon type equations with acoustic boundary conditions	Journal of Mathematical Analysis and Applications	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	2003		Small vertical vibrations of strings with moving ends	Revista Matemática Complutense	FROTA, C. L.; MEDEIROS, Luis Adauto ; RABELLO, Tânia N ; VIEIRA, Maria Cristina C		
artigoEmPeriodico	Cícero Lopes Frota	2002		Global solvability and decay of the energy for the nonhomogeneous Kirchhoff equation	Differential and Integral Equations	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	2002		Fractional Telegraph Equations	Journal of Mathematical Analysis and Applications	FROTA, C. L.; GOLDSTEIN, J. A. ; CASCAVAL, R. C. ; ECKSTEIN, E. C.		
artigoEmPeriodico	Cícero Lopes Frota	2001		Global solvability and asymptotic behaviour of a hyperbolic problem with acoustic boundary conditions	Funkcialaj Ekvacioj	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A		
artigoEmPeriodico	Cícero Lopes Frota	2000		Some nonlinear wave equations with acoustic boundary conditions	Journal of Differential Equations	FROTA, C. L.; GOLDSTEIN, J. A.		
artigoEmPeriodico	Cícero Lopes Frota	1999		Existence of global solutions and energy decay for the Carrier equation with dissipative term	Differential and Integral Equations	FROTA, C. L.; COUSIN, Alfredo Tadeu ; LAR'KIN, Nickolai A		
